match_score,years_experience,skill_count,label
43,0,5,Reject
75,0,12,Maybe
42,3,3,Reject
21,1,7,Reject
28,3,14,Reject
52,3,7,Maybe
52,0,14,Maybe
52,5,10,Maybe
60,3,6,Maybe
91,1,7,Maybe
38,4,6,Reject
20,2,13,Reject
77,3,7,Shortlist
20,6,10,Reject
95,6,14,Shortlist
82,6,8,Shortlist
79,4,9,Shortlist
67,5,9,Maybe
75,4,4,Maybe
34,3,8,Reject
65,2,5,Maybe
40,4,7,Reject
84,0,15,Maybe
58,0,11,Maybe
65,5,15,Maybe
40,6,5,Reject
52,4,4,Maybe
41,4,7,Reject
30,2,3,Reject
47,1,8,Reject
21,6,12,Reject
30,0,10,Reject
80,1,4,Maybe
64,3,10,Maybe
66,1,5,Maybe
